numero_expediente,empresa,estado,municipio_o_delegacion,clinica_veterinaria,farmacia_veterinaria,hospital_veterinario
0253-09-15,Secretaria de la Defensa Nacional (Almacen No 3 Insumos de Uso Veterinario de la Sdn Almacenes Generales de Sanidad),Ciudad de Mexico,Miguel Hidalgo,no,no,no
0254-16-15,Asociacion Ganadera Local de Venustiano Carranza Mich,Michoacan,Venustiano Carranza,no,si,no
0255-10-15,Rosa Alicia Silva Franco,Durango,Durango,si,si,si
0062-19-15,Luis Fernando Rodriguez Rodriguez,Nuevo Leon,San Nicolas de Los Garza,no,si,no
0256-09-15,Valentin Rodriguez Rosas,Sd,Sd,sd,sd,sd
0257-25-15,Daniel Alejandro Penuelas Estrada,Sinaloa,Guasave,si,si,no
0258-15-15,Asuncion Avila Merino,Mexico,Naucalpan,si,no,no
0259-21-15,Lecona Pardo Antonio,Puebla,Xicotepec de Juarez,no,si,no
0260-18-15,Jorge Arturo Aranda Orozco,Nayarit,Santiago Ixcuintla,no,si,no
0261-27-15,Cecilia Correa Garcia,Tabasco,Cardenas,no,si,no
0262-27-15,Servirancho SA de CV,Tabasco,Cardenas,no,si,no
0263-27-15,Francisco de la Rosa de la Rosa,Tabasco,Huimanguillo,no,si,no
0264-23-15,Ivan Mendoza Estrada,Quintana Roo,Benito Juarez,no,si,no
0265-02-15,Yamila Judith Gonzalez Lopez,Baja California,Mexicali,no,si,no
0266-22-15,Irma Laura Cruz Ortiz,Queretaro,San Juan del Rio,si,si,no
0267-14-15,Hector Alfredo Hernandez Marin,Jalisco,Guadalajara,si,no,no
0269-14-15,Alberto Carlos Gomez Correa,Jalisco,Guadalajara,si,no,no
0270-09-15,Blanca Lidia Corona Martinez,Ciudad de Mexico,Iztacalco,si,no,no
0271-12-15,Jose Nunez Herrera,Guerrero,Iguala,no,si,no
0272-14-15,Sandra Elizabeth Sandoval Ibarra,Jalisco,Guadalajara,si,si,si
0273-12-16,Yolanda Vazquez Abarca,Guerrero,Chilapa de Alvarez,si,si,no
0274-16-16,Ramon Martinez Pimentel,Michoacan,La Piedad,no,si,no
0275-16-16,Susana Elizabeth Miranda Arredondo,Michoacan,Morelia,si,si,no
0276-27-16,Vaca Sosa Genaro,Tabasco,Huimanguillo,no,si,no
0277-22-16,Maria Perez Rodriguez,Queretaro,San Juan del Rio,no,no,no
0278-09-16,Jazmin Linares Andrade,Ciudad de Mexico,Milpa Alta,si,si,no
0279-09-16,Luna Pelayo Edgar Alejandro,Ciudad de Mexico,Xochimilco,si,si,si
0280-16-16,Victor Hugo Torres Maya,Michoacan,Zitacuaro,no,si,no
0281-09-16,Jose Miguel Munive Vera,Ciudad de Mexico,Coyoacan,si,no,no
0282-15-16,Luis Carlos Diaz Coppe,Mexico,San Juan del Rio,si,no,no
0284-27-16,Asuncion Sanchez Rodriguez,Tabasco,Centro,no,si,no
0285-27-16,Javier Mendez Hernandez,Tabasco,Nacajuca,no,si,no
0286-09-16,Servicios Veterinarios Darwin SA de CV,Ciudad de Mexico,Miguel Hidalgo,si,si,si
0287-27-16,Ofelia Cervantes Lopez,Tabasco,Centro,no,si,no
0288-14-16,Beatriz Arianna Villarejo Alvarez,Jalisco,Zapopan,si,no,no
0290-09-16,Pedro Pablo Caballero Izaguirre,Ciudad de Mexico,Benito Juarez,si,no,no
0291-09-16,Maria Guadalupe Casilda Saiz Vazquez,Ciudad de Mexico,Benito Juarez,si,no,si
0292-09-16,Hortencia Mendoza,Ciudad de Mexico,Gustavo a Madero,si,no,no
0293-27-16,Arisvet Castillo Lagunes,Tabasco,Emiliano Zapata,no,si,no
0295-02-16,Jorge Villalobos Diaz,Baja California,Mexicali,no,si,no
0296-30-16,Ana Maria Sosa Ruiz,Veracruz,Fortin,no,si,no
0298-09-16,Mitzi Beatriz Rojas Servin,Ciudad de Mexico,Iztacalco,si,no,no
0299-02-16,Edith Eileen Rivera Reyes,Baja California,Tijuana,si,no,no
0300-14-16,Divirosa SA de CV,Jalisco,Guadalajara,no,si,no
0302-02-16,Luis Antonio Ramos Delgado,Baja California,Rosarito,no,si,no
0303-02-16,Adalis Ramos Gonzalez,Baja California,Tijuana,no,si,no
0304-02-16,Ricardo Martinez Gomez,Baja California,Tijuana,no,si,no
0305-02-16,Rosa Esther de la Cruz Hernandez,Baja California,Tijuana,no,si,no
0306-16-16,Gerardo Hernandez Madrigal,Michoacan,Aguililla,si,si,no
0307-12-16,Sorayda Delgado Cruz,Guerrero,Iguala,no,no,no
0308-12-16,Juan Carlos Ocampo Elizalde,Guerrero,Buenavista de Cuellar,no,no,no
0309-02-16,Marcela Jimenez Madrigal Moncayo,Baja California,Tijuana,si,no,no
0310-14-16,Ismael Ruan Tejeda,Jalisco,El Salto,si,si,si
0311-14-16,Laura Alejandra Lozano Garcia,Jalisco,Guadalajara,si,si,si
0312-13-16,Cruz Angelica Neri Peralta,Hidalgo,Cuautepec de Hinojosa,no,si,no
0313-30-16,Jose Enrique Cesar Sanchez Aldama,Veracruz,Rafael Lucio,no,si,no
0314-30-16,Enrique Cesar Sanchez Garcia,Veracruz,Xalapa,no,si,no
0315-30-16,Reyna Perez Pinzon,Veracruz,Xalapa,si,no,no
0315-30-16,Reyna Guadalupe Lima Perez,Veracruz,Xalapa,si,no,no
0316-27-16,Raul Arcos Garcia,Tabasco,Emiliano Zapata,no,si,no
0317-27-16,Flor de Liz Perez Ovando,Tabasco,Tenosique,no,si,no
0318-27-16,Maribel Villarreal Peralta,Tabasco,Emiliano Zapata,no,si,no
0319-27-16,Zulema Mejia Olivera,Tabasco,Emiliano Zapata,no,si,no
0320-27-16,Claudia Barahona Ruiz,Tabasco,Tenosique,no,si,no
0321-27-16,Zoraida Rodriguez Rodriguez,Tabasco,Tenosique,no,si,no
0322-06-16,Zoraida Rodriguez Rodriguez,Colima,Colima,si,no,no
0324-06-16,Javier de la Pena Diaz,Colima,Manzanillo,si,si,si
0325-06-16,Ma Isabel Hernandez Martinez,Colima,Manzanillo,si,si,no
0326-06-16,Magdalena Morfin Malacara,Colima,Manzanillo,si,si,no
0327-06-16,Jose Baltazar Aguilar,Colima,Manzanillo,si,si,no
0328-14-16,Wendy Maria Guadalupe Rivera Lopez,Jalisco,Guadalajara,si,si,si
0329-14-16,Francisco Javier Rodriguez Valencia,Jalisco,Guadalajara,si,si,si
0330-14-16,Francisco Rodriguez Jimenez,Jalisco,Zapopan,si,si,si
0332-13-16,Maria Karina Hernandez Perez,Hidalgo,Cuautepec de Hinojosa,no,si,no
0333-27-16,Marisol Cordova Magana,Tabasco,Paraiso,si,si,si
0334-31-16,Mariana Josefina Duarte Romero,Yucatan,Tekax,no,si,no
0335-09-16,Gabriela Hernandez Gonzalez,Ciudad de Mexico,Tlalpan,si,no,no
0337-26-16,Ifv Division Noroeste SA de CV,Sonora,Ciudad Obregon,no,no,no
0338-14-16,Moises Israel Ramirez Morales,Jalisco,Zapopan,si,no,no
0339-03-16,Carlos Ignacio Chapa Cortez,Baja California,La Paz,si,si,si
0340-30-16,Saul Aguilar Dominguez,Veracruz,Alto Lucero de Gutierrez Barrios,no,no,no
0341-12-16,Leonid Guadarrama Miranda,Guerrero,Iguala,no,si,no
0342-28-16,Merced Atilano Sanchez,Tamaulipas,Madero,si,si,no
0343-15-16,Elisa Robles Paz,Mexico,Tlalnepantla de Baz,si,si,no
0344-03-16,Farmacia Veterinaria Chiapa Sa,Baja California,La Paz,no,si,no
0345-12-16,Cesar Samano Botello,Guerrero,Buenavista de Cuellar,no,si,no
0346-12-16,Raul Guadarrama Ocampo,Guerrero,Iguala,no,si,no
0347-12-16,Productos y Servicios Agropecuarios el Giro SA de CV,Guerrero,Iguala,no,si,no
0348-12-16,Alberto Garcia Santana,Guerrero,Zirandaro,no,si,no
0349-14-16,Erika Margarita Ramirez Arceo,Jalisco,Guadalajara,si,no,no
0350-15-16,Enrique Alberto Santillan Gonzalez,Mexico,Atizapan de Zaragoza,si,no,no
0351-09-16,Elizabeth Rodriguez Mercado,Aguascalientes,Azcapotzalco,no,no,si
0352-09-16,Dulce Maria Soto Garcia,Ciudad de Mexico,Iztacalco,si,no,no
0353-16-16,Maria Faviola Gaona Garcia,Michoacan,Patzcuaro,si,no,no
0354-11-16,Asociacion Ganadera Local General de Leon,Guanajuato,Leon,si,si,no
0355-25-16,Soluciones Veterinarias de Sinaloa SA de CV,Sinaloa,Culiacan,si,si,no
0356-27-16,Patricia Graciela Cruz Enriquez,Tabasco,Cardenas,no,si,no
0357-27-16,Jose Javier Zavala Hidalgo,Tabasco,Comalcalco,no,si,no
0359-27-16,Alfonso Valenzuela Ortiz,Tabasco,Comalcalco,no,si,no
0360-27-16,Lauro Garcia Alarcon,Tabasco,Cardenas,no,si,no
0361-27-16,Amalia Canul Moo,Tabasco,Cardenas,no,si,no
0362-27-16,Diagnosticos y Sanidad del Sureste SA de CV,Tabasco,Centro,si,si,no
0363-23-16,Gabriel Galvan Rodriguez,Quintana Roo,Benito Juarez,si,no,si
0364-07-16,Rita Ruth Rodriguez Molina,Chiapas,Simojoel de Allende,no,si,no
0365-15-16,Luis Urbina Ortega,Mexico,Acolman,si,si,no
0366-18-16,J Jesus Delgado Romero,Nayarit,Rosamorada,si,si,no
0367-15-16,Sandra Perez Blanco,Mexico,Tlalnepantla,si,no,no
0368-30-16,Silvia Espinoza Vasquez,Veracruz,Minatitlan,no,si,no
0369-27-16,Jose Alejo Aguilar Perez,Tabasco,Nacajuca,no,si,no
0370-28-16,Luis Armando Oyervides Rios,Tamaulipas,Gonzalez,si,no,no
0371-19-16,Alejandro Omar Reyes Delgado,Nuevo Leon,Gral Escobedo,si,si,si
0373-09-16,Antonio Flores Moran,Ciudad de Mexico,Xochimilco,si,no,no
0374-30-16,Lizbeth Martinez Romero,Veracruz,San Andres,si,si,no
0375-06-16,Cynthia Lizeth Urzua Gallegos,Colima,Tecoman,si,si,si
0376-30-16,Raul Salazar y Reyes,Veracruz,Misantla,si,si,no
0377-14-16,Jose Ramon Gallegos Velasquez,Jalisco,Guadalajara,no,si,si
0379-02-16,Jackson Sherman Still,Baja California,Mexicali,si,si,si
0380-09-16,Asociacion Pro Defensa de Los Derechos Animales y Prevencion de la Rabia Ac,Ciudad de Mexico,Benito Juarez,si,si,no
0381-09-16,Centro Medico Veterinaria del Sur SA de CV,Ciudad de Mexico,Coyoacan,si,si,no
0382-15-16,Sergio Ramon Carrizoza,Mexico,Teoloyucan,si,si,no
0383-11-16,Christian Gutierrez Lopez,Guanajuato,Leon,si,si,si
0384-15-16,Karla Lorena Vargas Morquecho,Mexico,Tlalnepantla,si,no,no
0385-01-16,Fabiola Ayluardo Rivera,Aguascalientes,Aguascalientes,si,si,no
0386-01-16,Leticia Feregrino Vega,Aguascalientes,Aguascalientes,no,si,no
0389-14-16,Francisco Javier Aguilar del Portillo,Jalisco,Puerto Vallarta,si,si,no
0390-14-16,Gloria Edith Cordova Estrada,Jalisco,Sayula,si,si,si
00391-05-16,Juana Esmeralda Perez Alvarado,Coahuila,Coahuila,no,si,no
00392-18-16,Oscar Alonso Martinez Garcia,Nayarit,Ruiz,no,si,no
00393-18-16,Jorge Armando Vergara Dominguez,Nayarit,Rosamorada,si,si,no
00394-18-16,Juan Manuel Martinez Garcia,Nayarit,Ruiz,no,si,no
00395-09-16,Isabel Barroso Hernandez,Ciudad de Mexico,Iztacalco,si,si,si
00396-09-16,Catalina Botello Tufino,Ciudad de Mexico,Iztacalco,si,si,no
00398-01-16,Alfredo Enrique Chanona Salazar,Aguascalientes,Aguascalientes,si,si,no
00399-09-16,Francisco Javier Malagamba Mendez,Ciudad de Mexico,Magdalena Contreras,si,no,no
00401-07-16,Mario Antonio Sosa Montalvo,Chiapas,Tuxtla Gutierrez,no,si,no
00403-09-16,Angelica Irene Lopez Brambila,Ciudad de Mexico,Tlalpan,si,si,no
00404-09-16,Cynthia Calderon Virgen,Ciudad de Mexico,Gustavo a Madero,si,si,si
00405-09-16,Sadit Orlando Mata Salazar,Ciudad de Mexico,Tlalpan,si,si,si
00406-09-16,Omar Leon Ramirez,Ciudad de Mexico,Tlahuac,si,si,no
00408-11-16,Mauricio Salvador Munoz Aranda,Guanajuato,Leon,no,si,no
00409-27-16,Oscar Lopez Tosca,Tabasco,Centro,no,si,no
00410-02-16,Sandra Ruth Montoya Ramiro,Baja California,Mexicali,si,si,no
00411-13-16,Jose Luis Zamora Gonzalez,Hidalgo,Atotonilco el Grande,no,si,no
00413-09-16,Enrique Jardon Palmer,Ciudad de Mexico,Xochimilco,si,si,no
00414-01-16,Patricia Evertsz Cervantes,Aguascalientes,Aguascalientes,no,si,no
00415-07-16,Maria del Carmen Martinez Maza,Chiapas,Berriozabal,no,si,no
00416-07-16,Jose Roberto Alvarado Aguilar,Chiapas,Villa Las Rosas,no,si,no
00417-07-16,Maria Alejandra Nangulari Jerez,Chiapas,Chiapilla,no,si,no
0418-09-16,Maria del Carmen Campos Castillo,Ciudad de Mexico,Benito Juarez,si,si,no
00420-09-16,Maria de Lourdes Serrano Garcia,Ciudad de Mexico,Venustiano Carranza,si,si,si
00421-03-16,Jose Alejandro Angulo Villavicencio,Baja California,La Paz,si,si,no
00422-07-16,Virna Lorena Rincon Ocampo,Chiapas,Pijijiapan,no,si,no
00423-07-16,Jose Enrique Ortega Cancino,Chiapas,Tapachula,no,si,no
00424-07-16,Maria Teresa Gomez Cardenas,Chiapas,Ocozocoautla,no,si,no
00425-07-16,Jose Hugo Rosas Hernandez,Chiapas,Tapachula,no,si,no
00426-07-16,Ulises Ramos Lopez,Chiapas,Huixtla,si,si,si
00427-07-16,Victor Alejandro Arguello Hernandez,Chiapas,Tzimol,no,si,no
0428-07-16,Carlos Reemberto Penagos Valdez,Chiapas,Simojovel,no,si,no
00429-07-16,Josefa Palacios Calvo,Chiapas,San Fernando,no,si,no
00430-07-16,Rodolfo Daniel Diaz Ballinas,Chiapas,San Cristobal de Las Casas,no,si,no
00431-07-16,Liliana Reyes Burguete,Chiapas,Cintalapa,no,si,no
00432-27-16,Veterinarias Dimevet SA de CV,Tabasco,Centro,no,si,no
00433-15-16,Jorge Mauricio Varela Razo,Mexico,Atizapan de Zaragoza,si,no,si
00434-07-16,Ana Lorena Ortega Cancino,Chiapas,Insurgentes,no,si,no
00435-07-16,Rigoberto Martin Coronel Mijangos,Chiapas,Tuxtla Gutierrez,si,si,no
00436-27-16,Dario Olive Montejo,Tabasco,Comalcalco,no,si,no
00438-09-16,Claudia Concepcion Name Rodriguez,Ciudad de Mexico,Venustiano Carranza,si,no,si
00439-30-16,Andres Candelario Jose Avila Lopez,Veracruz,Minatitlan,no,si,no
00440-04-16,Antonio Forsythe Anderson,Campeche,Champoton,no,si,no
00441-15-16,Pet You SA de CV,Mexico,Huixquilucan,no,si,si
0442-09-16,Jesus Lugo Marin,Ciudad de Mexico,Coyoacan,si,no,no
00444-23-16,Martha Graciela Moreno Rodriguez,Quintana Roo,Cancun,si,si,no
00445-15-16,Adrian Hernandez Montiel,Mexico,Apaxco,si,si,si
00446-27-16,Oteo Tello Maria de Lourdes,Tabasco,Tenosique,no,si,no
0447-09-16,Jose Francisco Davila Gonzalez,Ciudad de Mexico,Benito Juarez,si,si,no
00448-09-16,Valed SA de CV,Ciudad de Mexico,Benito Juarez,si,no,no
00449-27-16,Carlos Alberto Pavon del Rivero,Tabasco,Emiliano Zapata,no,si,no
00450-07-16,Petrona Ferrer Aez,Chiapas,Catazaja,no,si,no
0451-07-16,Cesar de la Cruz Ramirez,Chiapas,Pakal,no,si,no
00452-09-16,Gobierno de la Ciudad de Mexico y O Agencia de Atencion Animal de la Ciudad de Mexico,Ciudad de Mexico,Cuauhtemoc,no,no,si
00453-09-16,Veronica Ramirez Martinez,Ciudad de Mexico,Gustavo a Madero,si,no,no
00454-31-16,Jorge Cardos Bonilla,Yucatan,Merida,no,si,no
00455-09-16,Fernando Ramirez Garcia,Ciudad de Mexico,Benito Juarez,si,no,no
00456-09-16,Valencia de Jesus Guillermo,Ciudad de Mexico,Venustiano Carranza,si,si,no
00457-27-16,Roberto Perez Lopez,Tabasco,Centro,no,si,no
00458-15-16,Hector Cedillo Sanchez,Mexico,Tlalnepantla de Baz,si,si,no
00459-02-16,Maryhelen Rivera Henry,Baja California,Mexicali,si,no,si
00460-02-16,Leopoldo Gutierrez Padilla,Baja California,Tijuana,si,si,si
00461-09-16,Julio Esquivel Colin,Ciudad de Mexico,Gustavo a Madero,si,no,no
00462-16-16,Martha Leticia Delgadillo Martinez,Michoacan,Morelia,si,no,no
00463-23-16,Maria Aide Salazar Chavez,Quintana Roo,Playa del Carmen,si,si,no
00464-09-16,Blanca Estela Rocha Flamand,Ciudad de Mexico,Miguel Hidalgo,si,no,no
00465-27-16,Rodrigo Uzcanga Hernandez,Tabasco,Tenosique,no,si,no
00466-09-16,Claudia Reyna Ortega,Ciudad de Mexico,Gustavo a Madero,si,no,no
00467-28-16,Nadia Aracely Ceniceros Pong,Tamaulipas,Madero,si,si,no
00468-23-16,Victor Marcelo Vega Bruner,Quintana Roo,Playa del Carmen Solidaridad,si,no,no
00469-15-16,Oftalvet Servicio Veterinario SA de CV,Mexico,Tlalnepantla,si,si,si
00470-31-16,Humberto Martin Solis Rodriguez,Yucatan,Kinchil,no,si,no
00471-16-16,Juan Jose Equihua Valladares,Michoacan,Uruapan,si,si,no
00472-10-16,Lucelia Guadalupe Onofre Ibarra,Durango,Gomez Palacio,no,si,no
00473-06-16,Veronica Van Grimbergen Ramos,Colima,Manzanillo,si,si,si
00474-04-16,Ileana Beatriz Gamboa Barrera,Campeche,Hopelchen,no,si,no
00475-04-16,Ileana Beatriz Gamboa Barrera,Campeche,Hopelchen,no,si,no
00476-04-16,Ileana Beatriz Gamboa,Campeche,Hopelchen,no,si,no
00477-15-16,Francisca Morales Velazquez,Mexico,Texcoco,si,no,no
00478-09-16,Aytzee Eloisa Pinon Cabrera,Ciudad de Mexico,Tlalpan,no,si,no
00479-16-16,Hugo Figueroa Medina,Michoacan,Uruapan,no,si,no
00480-09-16,Ruben Moreno Cordero,Ciudad de Mexico,Gustavo a Madero,si,si,no
00481-27-16,Clinica Veterinaria Ventura S de Rl,Tabasco,Villa Hermosa,si,si,si
00482-09-16,Luis Fernando Martinez Cornejo,Ciudad de Mexico,Coyoacan,no,no,si
00483-09-16,Eduardo Vazquez del Arenal,Ciudad de Mexico,Cuajimalpa,si,si,no
00485-23-16,Servicios Profesionales Jfc Sc y O Clinica Hospipet,Quintana Roo,Benito Juarez,si,si,si
00486-27-16,Leonorilda Landero Herrera,Tabasco,Centro,no,si,no
00488-24-16,Guillermo Rodriguez Castillo,San Luis Potosi,Ebano Centro,si,no,si
00489-05-16,Francisco Nunez Gonzalez,Coahuila,Torreon,si,si,si
00490-11-16,Ileana Quezada Torres,Guanajuato,Leon,si,no,no
00491-09-16,Rene Garcia Maldonado,Ciudad de Mexico,Tlalpan,si,no,no
00492-09-16,Victor Hugo Escalona Marcial,Ciudad de Mexico,Tlalpan,si,si,no
00493-27-16,Jesus Gabriel Espinosa Lastra,Tabasco,Huimanguillo,no,si,no
00494-27-16,Jenaro Perez Ruiz,Tabasco,Huimanguillo,no,si,no
00495-27-16,Moises Fernando Amador Ronquillo,Tabasco,Cardenas,no,si,no
00496-15-16,Vanessa Espinosa Robles,Mexico,Tlalnepantla,si,si,no
00497-05-16,Rolando Albores Garcia,Coahuila,Torreon,si,no,si
00498-05-16,Jorge Leobardo Gonzalez Castaneda,Coahuila,Torreon,si,si,si
00499-05-16,Miguel Davila Davila,Coahuila,Torreon,si,si,si
00500-10-16,Xochitl Sosa Chavez,Durango,Gomez Palacio,si,si,si
00501-05-16,Karen Isabel Tapia Robles,Coahuila,Torreon,si,si,si
00502-05-16,Daniel Eduardo Ortiz Diaz,Coahuila,Torreon,si,si,no
00503-10-16,David Banda Lugo,Durango,Gomez Palacio,si,si,no
00504-10-16,Azalia Margarita Garcia Samaniego,Durango,Lerdo,si,si,si
00505-05-16,Gerardo Barrera Rayos,Coahuila,Torreon,si,si,si
00506-05-16,Enrique Facio Umana,Coahuila,Torreon,si,si,si
00507-10-16,Juan Carlos Lugo Garcia,Durango,Gomez Palacio,si,si,si
00508-05-16,Maria Eugenia Marin Rivera,Coahuila,Torreon,si,si,si
00509-10-16,Claudia Elena Perez Lopez,Durango,Gomez Palacio,si,si,si
00510-05-16,Irineo Juan Rodriguez Garcia,Coahuila,Torreon,si,si,no
00511-10-16,Fernando Rafael Morales Soto,Durango,Gomez Palacio,si,no,no
00512-05-16,Arturo Flores Guadarrama,Coahuila,Torreon,si,si,si
00513-05-16,Armando Javier Villareal Martinez,Coahuila,Torreon,si,si,si
00514-05-16,Jose Trinidad Castro Hernandez,Coahuila,Torreon,si,si,si
00515-05-16,Arnoldo R Celis Saucedo,Coahuila,Torreon,si,si,si
00516-05-16,Maria Fernanda Garcia Suarez,Coahuila,Torreon,si,si,si
00517-05-16,Alejandro Aquino Vazquez,Coahuila,Torreon,si,si,no
00519-10-16,Sylvia Herrera Rueda,Durango,Gomez Palacio,si,si,no
00520-27-16,Elio Ascencio Ramirez,Tabasco,Centro Cardenas,no,si,no
00521-27-16,Elio Ascencio Ramirez,Tabasco,Centro,no,si,no
00522-11-16,Veterinaria Agropol SA de CV,Guanajuato,Penjamo,no,si,no
00523-14-16,Centro Especializado En Pequenas Especies S de Rl de CV,Jalisco,Zapopan,si,si,no
00524-01-16,Samuel Lozano Santillan,Aguascalientes,Aguascalientes,si,no,si
00525-09-16,Juan Francisco Daniel Arroyo Vazquez,Ciudad de Mexico,Magdalena Contreras,no,si,no
00526-27-16,Ramon Sanchez Sanchez,Tabasco,Tenosique,no,si,no
00527-27-16,Marcelo Chan Perez,Tabasco,Tenosique,no,si,no
00528-27-16,Lucero del Alba Chan Damas,Tabasco,Jonuta,no,si,no
00529-21-16,Oliver Meneses Gonzalez,Puebla,Tepanco de Lopez,si,si,no
00530-09-16,Tamara Libertad Iturbe Cossio,Ciudad de Mexico,Benito Juarez,si,no,no
00531-27-16,Alfredo Castro Broca,Tabasco,Comalcalco,no,si,no
00532-09-16,Raul Alvarado Canchola,Ciudad de Mexico,Iztacalco,si,si,si
00533-07-16,Florentina Gomez Lazos,Chiapas,Villaflores,no,si,no
00535-31-16,Floricely Canul Canul,Yucatan,Merida,no,si,no
00537-27-16,Daniel de la Cruz Lopez,Tabasco,Huamanguillo,no,si,no
00538-02-16,Adolfo Antonio Arellano Rojo,Baja California,La Presa,si,si,no
00539-23-16,Maskoketos Sc,Quintana Roo,Solidaridad,si,no,no
00540-09-16,Martin Manuel Garcia Cota,Ciudad de Mexico,Cuauhtemoc,si,si,si
00541-21-16,Maria Luisa Martini Crivelli,Puebla,San Gregorio Atzompa,no,si,no
00542-02-16,Dinamica Veterinaria SA de CV,Baja California,Mexicali,no,si,no
00543-16-16,Sergio Enrique Fajardo Tejeda,Michoacan,La Piedad,no,si,no
00544-15-16,Maribel Gutierrez Vidal,Mexico,Texcoco,no,si,no
00545-11-16,Paloma Cervantes Perez,Guanajuato,Celaya,si,si,si
00546-15-16,Claudia Hernandez Lopez,Mexico,San Juan,no,si,no
00547-09-16,Veterinaria Roa Sa,Ciudad de Mexico,Tlahuac,no,si,no
00548-01-16,Eneyda Eugenia Ramos Chavez,Aguascalientes,Aguascalientes,si,no,no
00549-27-16,Adriana Munoz Adriano,Tabasco,Paraiso,si,si,si
00550-27-16,Edgardo Adolfo Lopez Guzman,Tabasco,Centla,no,si,no
00551-27-16,Maribel de la Cruz Jimenez,Tabasco,Centla,no,si,no
00552-27-16,Eva Rocio Flores Diaz,Tabasco,Villahermosa,no,si,no
00553-23-16,Juan Urbano Salazar Chavez,Quintana Roo,Benito Juarez,si,si,no
00554-27-16,Blanca Isela Salvador de la Cruz,Tabasco,Frontera,no,si,no
00555-27-16,Juan Alberto Almeida Garcia,Tabasco,Cardenas,no,si,no
00556-15-16,Alfredo Cebada Perea,Mexico,Teotihuacan,si,no,no
00557-09-16,Pets Dogs & Friends S de Rl de CV,Ciudad de Mexico,Alvaro Obregon,si,no,no
00558-09-16,Hospital Veterinario de Especialidades del Valle Vg SA de CV,Ciudad de Mexico,Benito Juarez,si,no,si
00559-15-16,Rigoberto Avalos Rodriguez,Mexico,Tecamac,si,si,no
00560-18-16,Forrajes de Ruiz SA de CV,Nayarit,Ruiz,no,si,no
00561-27-16,Elizabeth Chable Jimenez,Tabasco,Villa Benito Juarez,no,si,no
00562-07-16,Jaime Antonio Cabrera Bernat,Chiapas,Palenque,no,si,no
00563-27-16,Lucia Balan Romero,Tabasco,Tenosique,no,si,no
00564-28-16,Gustavo Rafael Rivera Lara,Tamaulipas,Tula,no,si,no
00565-07-16,Maria de Lourdes Gomez Alonso,Chiapas,Palenque,no,si,no
00566-27-16,Rosa del Carmen Hidalgo Valladares,Tabasco,Emiliano Zapata,no,si,no
00567-23-16,Laura Tatyana Colina Rodriguez,Quintana Roo,Benito Juarez,si,si,si
00568-23-16,Oscar Oliva Cantarutti,Quintana Roo,Benito Juarez,si,si,no
00569-09-16,Enrique Vejar Covarrubias,Ciudad de Mexico,Gustavo a Madero,si,no,no
00570-15-16,Pamela Barcenas Avila,Mexico,Acolman,si,no,no
00573-09-16,Vanessa Zavaleta Leal,Ciudad de Mexico,Xochimilco,no,si,no
00574-03-16,Alvaro Ivan Gonzalez Espinoza,Baja California,La Paz,no,si,no
00575-11-16,Francisco Emanuel Beltran Esparza,Guanajuato,Leon,no,no,si
00576-19-16,Saul Alejandro Galvan Valdez,Nuevo Leon,Santa Catarina,no,no,si
00577-19-16,Edgar Ramiro de la Garza Velazquez,Nuevo Leon,Guadalupe,si,si,no
00578-19-16,Eduardo Rafael Rodriguez Mata,Nuevo Leon,Monterrey,si,si,no
00583-09-16,Ernesto Macias Trujillo,Ciudad de Mexico,Gustavo a Madero,no,si,no
00584-09-16,Atanacio Macias de Anda,Ciudad de Mexico,Gustavo a Madero,no,si,no
00586-19-16,Erick Castillo Rodriguez,Nuevo Leon,Apodaca,si,si,si
00587-19-16,Eduardo Martinez Arriaga,Nuevo Leon,Monterrey,si,no,si
00588-19-16,Yolanda Jaramillo Melendez,Nuevo Leon,Monterrey,si,si,no
00590-19-16,Javier Serna Gonzalez,Nuevo Leon,Monterrey,si,si,no
00592-19-16,Marco Antonio Solis Caballero,Nuevo Leon,San Nicolas de Los Garza,si,si,si
00594-19-16,Jessica Sepulveda Chavana,Nuevo Leon,Cd Guadalupe,si,no,no
00596-19-16,Cristobal Gerardo Rodriguez Trevino,Nuevo Leon,San Pedro,si,si,si
00597-19-16,Cynthia Elishama Govea Sanchez,Nuevo Leon,Monterrey,si,si,no
00599-19-16,Mario Alberto Rodriguez Garcia,Nuevo Leon,Gudalupe,si,si,no
00601-19-16,Manuel Omar Serna Moya,Nuevo Leon,Monterrey,si,si,no
00602-19-16,Nahomi Fernanda Aleman,Nuevo Leon,Sd,Sin dato,Sin dato,Sin dato
00603-19-16,Rodolfo Contreras Uribe,Nuevo Leon,Monterrey,si,si,si
00608-15-16,Ana Elvia Flores Rodriguez,Mexico,Zumpango,si,si,si
00609-11-16,Maritza Torres Nasser,Guanajuato,Leon,si,no,no
00610-16-16,Cynthia Sarahy Rivera Torres,Michoacan,Los Pinos,si,si,Sin dato
00611-19-16,Josefina Cantu Lopez,Nuevo Leon,Monterrey,si,si,no
00612-19-16,Adriana Valdez Ceballos,Nuevo Leon,Monterrey,si,si,no
0613-21-16,Emilio Felipe Flores Lima,Puebla,Puebla,si,si,no
00614-2-16,Maria Estela Viramontes Trujillo,Baja California,Baja California,si,si,si
00615-2-16,Jose Ramon Garcia Arballo,Baja California,Baja California,si,si,no
